04,12,21,22,27,29
12,20,21,22,27,29
02,12,21,22,27,29
04,09,21,22,27,29
09,12,21,22,27,29
04,09,12,21,22,27
04,09,12,21,27,29
04,14,21,22,27,29
12,14,21,22,27,29
04,12,14,21,22,27
04,12,14,21,27,29
09,14,21,22,27,29
09,12,14,21,22,27
09,12,14,21,27,29
03,04,21,22,27,29
03,12,21,22,27,29
03,04,12,21,22,27
03,04,12,21,27,29
03,09,21,22,27,29
03,09,12,21,22,27
03,09,12,21,27,29
03,14,21,22,27,29
03,12,14,21,22,27
03,12,14,21,27,29
10,12,21,22,27,29
10,14,21,22,27,29
10,12,14,21,22,27
04,17,21,22,27,29
12,17,21,22,27,29
04,12,17,21,22,27
04,12,17,21,27,29
04,12,17,21,22,27,29
17,20,21,22,27,29
12,17,20,21,22,27
12,17,20,21,27,29
02,12,17,21,22,27
02,12,17,21,27,29
09,17,21,22,27,29
04,09,17,21,22,27
04,09,17,21,27,29
09,12,17,21,22,27
09,12,17,21,27,29
09,12,17,21,22,27,29
04,09,12,17,21,27
04,09,12,17,27,29
14,17,21,22,27,29
04,14,17,21,22,27
04,14,17,21,27,29
12,14,17,21,22,27
12,14,17,21,27,29
12,14,17,21,22,27,29
04,12,14,17,21,27
04,12,14,17,27,29
09,14,17,21,22,27
09,14,17,21,27,29
09,12,14,17,21,27
09,12,14,17,27,29
03,17,21,22,27,29
03,04,17,21,22,27
03,04,17,21,27,29
03,12,17,21,22,27
03,12,17,21,27,29
03,12,17,21,22,27,29
03,04,12,17,21,27
03,04,12,17,27,29
03,09,17,21,22,27
03,09,17,21,27,29
03,09,12,17,21,27
03,09,12,17,27,29
03,14,17,21,22,27
03,14,17,21,27,29
03,12,14,17,21,27
03,12,14,17,27,29
10,17,21,22,27,29
10,12,17,21,22,27
10,14,17,21,22,27
07,12,21,22,27,29
07,17,21,22,27,29
07,12,17,21,22,27
07,12,17,21,27,29
